Address	Balance
cc1cg8jypw42je3drq5t3ejezu49vrf6u2cy5kt7x	100
cc1uwd0jxe63tpjrysc374p6hfrrzdyn8ufeqkllw	100
cc179tk7td8lj3tqqjkxl0s2uckqgk4tymgpp6k62	100
cc19z20ne3ef575dgfk5ff67xtu0uup8yuj36629j	100
cc1xaxmxvrhtsnemgcw2lc3mh3lwffk5h730wqacy	100
cc10vszh4m9hrlu3ejrzgxrt2tpzdcyu63akn5s3m	200
cc1se7v7c8gslwckfnzmj8halgd67fqfgnnjhzuey	100
cc1n485ndjsz04nka8q79u3e79u3k5tp5ltfhk2nl	100
cc1k2g0l077raf7jyn5phqkh8y30eah6lgscv0x8z	100
cc16mm2pqdtts8rttlgwg74zcnwg7jfhvxcawn0md	100
cc1map9955h5ujvdmlz50dk5jrtfma0y4tdqgg5kq	200
cc1axcus06j2k6e359pgplu7w69pp276tgpzra5tf	100
cc1txttg5jrm4d6cvfrulnahz6lvukrgstdhkwvnz	395559
cc1lh8xk597ggnz6y29s9pxsfgpcvf4390e9c9sjn	77000
cc1awpflkaj937pkn6ws5f048hhf7jwjg8f23z2g7	1178354
cc1dg6wsr2hlkvys5vna2jdkd6flgphh4sy66c3ur	21850
cc1aj0jfydrjmwhzgk0fjcvu68dvmc4klgrjtpc86	4900
cc1kl855verd58uac9ws5wylk8trsgkmggldc7kp2	4500
cc1rc2s3l5sh36uk42xzy6v53dmfkqgkr6rdz9xs4	18850
cc1gzyygy4phl8ftjut6952psuz0gpajyt6c3chjk	98650
cc18jmylp5ddfhv4gzzm0lrvk92xy9aa6x5tcn27f	5000
cc1kfrq72eqpdac36uzux3z8y0u0ff2w7gvj9la6k	1000
cc17dvcqfszu4znjhrznqpw3u9q2jxyaur4ax6af8	10000
cc1nedlyyjmf9cc6ckgy26v6j22gm95qwa9q9y0p3	1500
cc1nt9qag8mly5yq4432vdv9v3my8ytfrl3yd375s	51700
cc1m9dwd037y7ma059xsnzwey92xk3v8jmy6lsuys	3100
cc1s7lyem4w7nldj0swawmddjwe0anpglfa7sxr0c	1400
cc1ym4x9362yxtxra72w550n5kv2zj8ze7rf679nq	2100
cc1s2gpvp2st2gggepxekj53c2uf7tqn9vrj09dxz	2000
cc1ywlysn8273d9zwz64mtxxc32ugkp49ussd5gxf	200
cc1vvv4x25qujst02r5l4put2her0u4ydu4fy7dl5	100
cc1q2w9a8ac7080tpt6tf0tth3f5qar6375j4z9s7	100
cc1vuzh99j2ggdf3c2rzkwursvp2jx9r4u7mvuj8h	100
cc1mp77nu88lx3760lzpqf868s49ezdpg7gfljkun	300
cc1uzvzgt04gg4t70jquhdxa9mgyzkc88m3czxdps	100
cc1x4yvn76pveqwej9gy3pcxqst5z66p4e2wzg70a	100
cc1jdxal827zlmpjpdu75v9zcuda4gfudryxql2ze	200
cc1w6sdrxkys6qq94mdm5eawk2aqfhcs55hld7tad	100
cc1k4xdq5n5t0wmlttn3n05rlk2wrftfp3vs8997n	300
cc1vh452a3zyyqkngfffsf9cvj8nzhrf0a8zxu6hn	100
cc12j8wxashnunc7pvh8ep383sy55rk086wn6m62l	100
cc177vpk4unx4d5pwsrwj4kd2jqq0xya9k9ztk8u7	100
cc1qa8t2ed87x8tgdwyw2tcgxpsg4stvn4w64rtna	100
cc1ekdz6rlnh4sx02wnwhdzheqq4l7pgvptjn2yu9	300
cc1nfn9yev2ry0nmh0r5akpym58udmevt75pume5s	300
cc1dwjsqp2psjyyaujxmwv76e6dk767tuamhxx0t2	600
cc147zd6esmydn05pjwghzxmp2lztk0562gal3qnp	300
cc19u8dpw8jp4mcelpelhp3pkam2sxzr6gdz8y3zt	200
cc18dnnlpy3l6j7v0pekf73xxm6kh3z7chhpp6xev	400
cc1ehad6hausea0qc8t3amxlpqs5rx2c05zmds3k9	200
cc1tnxxhkf3s8apvf34270vde7t9u59t6xxq9xsac	100
cc1fss98cftj6g8h24yzxfhq2q0hr06n3u5ca62zf	100
cc1wwg5f8x6c6dsucm22xkfppus6ul76ck9w3m7mc	100
cc1fgwaqndwpl2hmk6vv98vt07fkefvx46wtdkt2h	100
cc1ep8qq32hh7ndtdcztgd2rrzlq8dcmvmmantevt	100
cc1wkuexd8n4lvd6032p4yuwnuf4cctd8m9cph6j5	300
cc1cy0ulsvus9ar70xst9x75cy4grxheqj88fk6vx	200
cc1jwavmmr75p25ay6atyaw4yw2pveywag8yz0rrw	100
cc1unulf3ezmkwjdgcmvskkc3anf3phw8fh8krxv7	100
cc13rvr4c369rhw63pjxcjvjpjy5ck9mm6pajz87r	200
cc1klpp6q7dzd3mafjve3f3ejt4c5y5nfeldt57j7	100
cc1g76zzp0neeulx9p7cvfh00vz2eq5d04v26ntsg	200
cc1vwg80fptuqmn0e3tnnqcgd0sm3u3a2s09qtq5m	400
cc13ycv4yp4u58xk9gghwlfjkey2y9smezpezd4x4	100
cc1c4smhzxtlzarjgrnueetdcjm3kjq3kx4sfkk3j	500
cc1q8zrfyv7muv7aflr5xzn069zfumy4xs8w6a3xn	100
cc14jzqhuk7s0c2ytspgrnq3ljqfxq5fjynr5q2zm	100
cc1prnmjqvp2080lgugjle0492ratxa387npjgz37	200
cc1qrjt6rsmn9qvs52suyujhuu8qp7a3520es7xy4	300
cc1slj7amnmemt0t0f8uahnnyv2ztdwuc30sxgdku	100
cc10zh0cdzdzxz8449v0pg4a2f32yueq8szrkw9qc	100
cc12jwxqch0xv6yn5e5jlyszqae43vzsag7xemygj	100
cc12jzf6x8qe77ephgx0cs0q276g2ptapzlr4k2ew	100
cc12l3zzykqyuunf9nlh2kkmugr09euy5hd5lcgws	100
cc13h9d5z77sfksv6uweheg38669g270puzkw5pwx	100
cc13p9cvq5atl2cagnjsxsm72vnyfkfnngulj28g3	100
cc13sany3heekznx5d2yur3v7rxj3f00ma6jv5eqq	100
cc146dmvlqxrcwa2h6ulg34l84wg07pmycyfsr0mq	100
cc14va4c3sfpxyapjjgl9mguwr82zc6v4f4tzellx	100
